"problem","solution","typification","business_unit"
"Cliente deseja obter informações sobre como agendar a antecipação das vendas de outras adquirentes/máquinas.","Neste momento não é possível agendar antecipação de vendas de outras máquinas.","Unidade de negócio: Adquirência Web / Adquirência Presencial
Produto: Antecipação de Vendas
Motivo: Dúvidas sobre a Antecipação
Submotivo: Esclarecimentos sobre a Antecipação de vendas de outras adquirentes/máquinas
Conclusão: Orientação","Adquirência Web / Adquirência Presencial"
"Cliente informa que teve uma cobrança de R$19,90 no cartão Pré-Pago referente a mensalidade e deseja saber do que se trata.","Desde setembro de 2020, a mensalidade do Cartão passou a ser gratuita para clientes que usam o cartão. No entanto, caso o cartão não seja usado em 12 meses (1 ano), é cobrada uma mensalidade no valor de R$19,90 por mês, limitada ao saldo disponível no Cartão.","Unidade de negócio: Emissão
Produto: Cartão Pré-Pago
Motivo: Uso do cartão
Submotivo: Cobrança de mensalidade por falta de utilização do cartão
Conclusão: Orientação","Emissão"
"Cliente deseja saber como realizar a recarga do cartão pré-pago.","Para realizar a recarga do cartão pré-pago, é necessário ter realizado o envio de documentos pelo aplicativo PagBank. Se o cliente já realizou esse processo, basta seguir o passo a passo acessando o aplicativo do PagBank, indo na aba **Cartões** no rodapé, selecionar o cartão pré-pago, clicar em **Recarregar** abaixo do saldo, inserir o valor de recarga desejado e clicar em **Continuar**. O valor mínimo de recarga é de R$1,00 e o saldo fica disponível em até 1 hora no cartão.

Para clientes com conta **Vendedor**, os limites são:
- Limite máximo de recarga: R$25.000,00
- Limite máximo de saldo do cartão: R$25.000,00

Para clientes com conta **Pessoal (comprador)**, os limites são:
- Limite máximo de recarga: R$5.000,00
- Limite máximo de saldo do cartão: R$5.000,00

Os limites de recarga são contados a partir do dia 1o de cada mês até o último dia do mês (30 ou 31, conforme o mês). Para compras, o cartão deve ser utilizado na função **crédito à vista**, com um limite de no máximo R$15.000,00 por transação.","Unidade de negócio: Emissão
Produto: Cartão Pré-Pago
Motivo: Uso do cartão
Submotivo: Como recarregar o cartão
Conclusão: Orientação","Emissão"
"Cliente deseja saber os limites de recarga do cartão pré-pago.","Para clientes com conta **Vendedor**, os limites são:
- Limite máximo de recarga: R$25.000,00
- Limite máximo de saldo do cartão: R$25.000,00

Para clientes com conta **Pessoal (comprador)**, os limites são:
- Limite máximo de recarga: R$5.000,00
- Limite máximo de saldo do cartão: R$5.000,00

Os limites de recarga são contados a partir do dia 1o de cada mês até o último dia do mês (30 ou 31 conforme o mês). Para compras, o cartão deve ser utilizado na função crédito à vista, com um limite de no máximo R$15.000,00 por transação.","Unidade de negócio: Emissão
Produto: Cartão Pré-Pago
Motivo: Uso do cartão
Submotivo: Como recarregar o cartão
Conclusão: Orientação","Emissão"
"Cliente não recebeu o cartão (Cartão da Conta PagBank).","Se o cliente solicitou o Cartão da Conta PagBank (débito) e não recebeu dentro do prazo estimado (que geralmente é de até 15 dias úteis após a aprovação do pedido), orientá-lo a:
- Verificar se o endereço de entrega cadastrado estava correto e completo;
- Checar se houve alguma tentativa de entrega registrada pelo correio/transportadora;
- Caso o prazo já tenha excedido significativamente, será necessário solicitar um novo cartão através do app ou central de atendimento.

Lembrar o cliente de manter os dados atualizados e acompanhar notificações de entrega no app ou e-mail.","Unidade de negócio: Emissão
Produto: Cartão da Conta (débito)
Motivo: Entrega de cartão
Submotivo: Não recebimento do cartão
Conclusão: Orientação","Emissão"
"Cliente deseja informações sobre cartão múltiplo (Cartão da Conta com função crédito).","O **Cartão Múltiplo PagBank** é aquele que une as funções débito (Cartão da Conta) e crédito em um só. Para ter a função crédito habilitada, o cliente deve passar por análise de crédito do PagBank. Algumas informações importantes:
- A função crédito, se aprovada, permitirá compras parceladas e online, conforme o limite concedido;
- O cliente continua com a função débito para usar o saldo da conta PagBank;
- As faturas do crédito serão disponibilizadas no app para pagamento.

Se o cliente deseja solicitar ou ativar essa função, deve verificar no app PagBank se há convite ou opção de **Habilitar função crédito** no Cartão da Conta.","Unidade de negócio: Emissão
Produto: Cartão Múltiplo PagBank
Motivo: Informações sobre cartão múltiplo
Submotivo: Dúvidas sobre função crédito do Cartão da Conta
Conclusão: Orientação","Emissão"
"Cliente pergunta sobre a participação do Cartão Pré-Pago Mastercard na campanha Vai de Visa.","O cartão pré-pago **Mastercard PagBank** não participa da campanha **Vai de Visa**, já que esta promoção é exclusiva para cartões da bandeira Visa. Se o cliente está tentando se cadastrar ou aproveitar benefícios do Vai de Visa com um cartão Mastercard, não será possível.

Oriente-o de forma empática, explicando que:
- A campanha **Vai de Visa** é destinada apenas a cartões Visa;
- O cartão Mastercard PagBank pode participar de outras promoções, como o **Mastercard Surpreenda** (caso deseje benefícios, pode se cadastrar nesse programa específico da Mastercard).

Assim, se o cliente quiser usufruir das promoções Vai de Visa, ele precisaria de um cartão de bandeira Visa.","Unidade de negócio: Emissão
Produto: Cartão Pré-Pago Mastercard
Motivo: Promoções de bandeira (Vai de Visa)
Submotivo: Cartão Mastercard não elegível à campanha Visa
Conclusão: Orientação","Emissão"
"Cliente quer saber como cadastrar o Cartão Pré-Pago Visa no programa Vai de Visa.","Para cadastrar o **Cartão Pré-Pago Visa PagBank** no programa **Vai de Visa**:
1. Acesse o site oficial do Vai de Visa (visa.com.br/promotions/vai-de-visa.html);
2. Clique em **Criar Conta** e preencha as informações solicitadas para se registrar no programa;
3. Após criar login, informe os dados do Cartão Visa PagBank conforme solicitado para cadastrá-lo;
4. Conclua o cadastro e, a partir daí, poderá verificar as ofertas e benefícios disponíveis para cartões Visa no programa.

Explique ao cliente passo a passo, garantindo que ele saiba que o programa é totalmente gerenciado pela Visa, mas que seu Cartão Visa PagBank pode participar normalmente.","Unidade de negócio: Emissão
Produto: Cartão Pré-Pago Visa
Motivo: Promoções de bandeira (Vai de Visa)
Submotivo: Cadastro do cartão Visa em campanha Vai de Visa
Conclusão: Orientação","Emissão"
"Cliente deseja informações sobre o programa Mastercard Surpreenda.","O **Mastercard Surpreenda** é um programa de benefícios da bandeira Mastercard. Para participar com o Cartão PagBank Mastercard:
- Acesse o site do programa (surpreenda.naotempreco.com.br/como-funciona);
- Clique em **Quero me cadastrar** e preencha os dados do seu Cartão Mastercard PagBank (número, nome, validade etc.) e informações pessoais;
- Após cadastro, o cliente poderá acumular pontos a cada compra realizada com o cartão (geralmente, 1 compra = 1 ponto, independentemente do valor);
- Esses pontos podem ser trocados por vouchers e descontos em parceiros conforme disponibilidade no site do Surpreenda.

Ressalte algumas vantagens do programa (descontos, ofertas “pague 1 leve 2” em parceiros, etc.) para estimular o cliente, caso ele tenha interesse.","Unidade de negócio: Emissão
Produto: Cartão PagBank Mastercard
Motivo: Promoções de bandeira (Mastercard Surpreenda)
Submotivo: Informações sobre cadastro e benefícios do Mastercard Surpreenda
Conclusão: Orientação","Emissão"
"Cliente quer saber como cadastrar o cartão Visa PagBank no programa Mastercard Surpreenda.","O programa **Mastercard Surpreenda** é exclusivo para cartões da bandeira Mastercard. Portanto, **cartões Visa PagBank não podem ser cadastrados** no Mastercard Surpreenda.

Se o cliente demonstra interesse em benefícios de cartões Visa, oriente-o sobre o programa Vai de Visa (exclusivo para Visa), ou outros benefícios que o PagBank/Visa possam oferecer, mas deixe claro que Mastercard Surpreenda aceita somente cartões Mastercard.","Unidade de negócio: Emissão
Produto: Cartão PagBank Visa
Motivo: Promoções de bandeira
Submotivo: Cartão Visa não participa do Mastercard Surpreenda
Conclusão: Orientação","Emissão"
"Cliente pergunta se o cartão de débito Visa participa do programa Mastercard Surpreenda.","Não, o **Cartão da Conta PagBank (Visa Débito)** não faz parte do programa Mastercard Surpreenda, pois este é exclusivo para cartões Mastercard. Explique ao cliente que:
- O PagBank Visa (débito) não acumula pontos no Surpreenda;
- O programa Surpreenda é voltado para quem possui cartão Mastercard (crédito, débito ou pré-pago) e cada compra com Mastercard gera pontos.

Sugira que, caso o cliente queira benefícios, ele pode aproveitar o próprio **Cartão da Conta PagBank Visa** em outras iniciativas (como descontos de parceiros via Visa) ou, se tiver um cartão PagBank Mastercard, esse sim pode ser cadastrado no Surpreenda.","Unidade de negócio: Emissão
Produto: Cartão da Conta Visa (débito)
Motivo: Promoções de bandeira
Submotivo: Cartão Visa não participa do Mastercard Surpreenda
Conclusão: Orientação","Emissão"
"Ao utilizar o Cartão de Crédito PagBank para compras internacionais, qual é a cobrança de IOF?","Nas compras internacionais feitas com o **Cartão de Crédito PagBank**:
- O IOF (Imposto sobre Operações Financeiras) cobrado é de **3,38%** sobre o valor da transação (quando a compra é à vista, essa é a taxa única de IOF sobre o valor convertido);
- Se a compra internacional for parcelada, além do IOF de 3,38% no momento da compra, incide IOF diário rotativo sobre as parcelas (ou seja, a cada parcela paga com atraso, incidiria IOF rotativo diário, mas normalmente as parcelas do cartão têm juros embutidos ou não conforme acordo no ato da compra).

Esclareça que o IOF é um imposto federal aplicado a transações em moeda estrangeira, e o PagBank apenas repassa esse valor conforme a legislação.","Unidade de negócio: Emissão
Produto: Cartão de Crédito PagBank
Motivo: Compras internacionais
Submotivo: IOF em compras internacionais (Cartão de Crédito)
Conclusão: Orientação","Emissão"
"Qual o IOF aplicado em compras internacionais com o Cartão da Conta PagBank?","Para compras internacionais realizadas com o **Cartão da Conta PagBank (débito Visa)**:
- O IOF aplicado é de **3,38%** sobre o valor da transação, uma vez que envolve conversão de moeda.
- A conversão dos valores em moeda estrangeira para reais é feita com base na taxa PTAX do dia, acrescida de 5% (taxa de conversão usada pelo PagBank).

Em resumo, ao usar o cartão de débito internacionalmente, o cliente pagará 3,38% de IOF sobre o valor convertido, e a conversão considera a PTAX + 5%.","Unidade de negócio: Emissão
Produto: Cartão da Conta PagBank (débito Visa)
Motivo: Compras internacionais
Submotivo: IOF e conversão em compras internacionais (débito)
Conclusão: Orientação","Emissão"
"Quando utiliza o Cartão Múltiplo PagBank - Função Débito para compras internacionais, qual a taxa de IOF?","Ao usar o **Cartão Múltiplo PagBank na função débito** para compras internacionais (ou seja, usando o saldo da conta PagBank em moeda estrangeira):
- Será cobrado IOF de **3,38%** sobre o valor da compra, conforme regulamentação para transações internacionais;
- A conversão da moeda estrangeira para real seguirá a taxa PTAX do dia acrescida de uma margem (5%).

Portanto, mesmo na função débito, a taxa de IOF é a mesma aplicada em transações de crédito internacionais à vista (3,38%).","Unidade de negócio: Emissão
Produto: Cartão Múltiplo PagBank (débito internacional)
Motivo: Compras internacionais
Submotivo: IOF em compras internacionais (débito)
Conclusão: Orientação","Emissão"
"Transação Pix não enviada e recebimento de mensagem ""Por questões de segurança, não foi possível concluir esta transação""","As transações Pix do PagBank passam por análises de segurança para proteger as contas, por isso durante o envio, os clientes podem ter bloqueios que ocorrem por possíveis riscos no aparelho utilizado pelo cliente ou nos dados fornecidos. Neste caso, é necessário que realize os passos abaixo e tente ao decorrer do dia. Utilize anti-vírus no aparelho utilizado, utilize uma conexão de internet segura, verifique os dados fornecidos novamente, em casos de compras, verifique a segurança do site e tente ao decorrer do dia.","Unidade de negócio: PagBank
Produto: Pix
Motivo: Envio de Pix
Submotivo: Bloqueio de transação por segurança
Conclusão: Orientação","PagBank"
"Transação TED não enviada e recebimento de mensagem ""Por questões de segurança, não foi possível concluir esta transação""","As transações TED do PagBank passam por análises de segurança para proteger as contas, por isso durante o envio, os clientes podem ter bloqueios que ocorrem por possíveis riscos no aparelho utilizado pelo cliente ou nos dados fornecidos. Neste caso, é necessário que realize os passos abaixo e tente ao decorrer do dia. Utilize anti-vírus no aparelho utilizado, utilize uma conexão de internet segura, verifique os dados fornecidos novamente, em casos de compras, verifique a segurança do site e tente ao decorrer do dia.","Unidade de negócio: PagBank
Produto: TED
Motivo: Envio de TED
Submotivo: Bloqueio de transação por segurança
Conclusão: Orientação","PagBank"
"O que é gerenciar dispositivos autorizados para fazer Pix? Bloqueio e exclusão de chave","Funcionalidade de segurança que possibilita o gerenciamento dos dispositivos autorizados a fazer transações Pix. Com ela, o cliente poderá excluir a autorização de um aparelho celular ou bloquear o dispositivo. Nesta primeira versão, ambas as funcionalidades, bloqueio ou exclusão, desativarão a permissão de transferência Pix com exclusão da chave. Para um novo uso, será necessário validar a conta novamente com um novo cadastro.","Unidade de negócio: PagBank
Produto: Pix
Motivo: Dúvidas normativa dispositivos cadastrados
Submotivo: Cliente orientado sobre normativa Pix
Conclusão: Orientação","PagBank"
"O cliente deseja saber como identificar a versão do app instalada","Para identificar a versão do app instalado no aparelho do cliente, oriente-o a seguir o passo a passo:
Na página inicial do app, clique no ícone de um boneco disponível na parte de cima do app; vá ao fim da página e veja o número da versão do app PagBank.","Unidade de negócio: PagBank
Produto: Aplicativo PagBank
Motivo: Uso do aplicativo
Submotivo: Como atualizar a versão do aplicativo
Conclusão: Orientação","PagBank"
"O cliente deseja saber como atualizar o App PagBank no sistema Android","No Android:
Vá até a Play Store, procure pelo aplicativo PagBank. Caso o botão **Atualizar** esteja disponível, há uma nova versão. Toque no botão **Atualizar** e aguarde; pronto! Agora é só continuar utilizando o seu app.

Para clientes que usam o sistema Android, se a atualização ficar com o status ""download pendente"", oriente-o a:
- Selecionar **Configurações**;
- Clicar em **Aplicativos**;
- Entrar em **Google Play Store** na lista de aplicativos;
- Já dentro da Play Store, acessar a área de **Armazenamento**;
- Tocar nos botões **Limpar Cache** e depois em **Limpar Dados**;
- Voltar ao Google Play e retomar a instalação do super app.","Unidade de negócio: PagBank
Produto: Aplicativo PagBank
Motivo: Uso do aplicativo
Submotivo: Como atualizar a versão do aplicativo
Conclusão: Orientação","PagBank"
"O cliente deseja saber como atualizar o App PagBank no sistema iOS","No iOS:
Vá até a Apple Store, busque o App PagBank ou entre na aba **Atualizações**. Deslize a tela para baixo e aguarde a página ser atualizada. Ao lado do aplicativo PagBank, toque em **Atualizar** e espere o processo ser concluído; pronto! Agora é só acessar o seu aplicativo e usá-lo sempre que precisar.","Unidade de negócio: PagBank
Produto: Aplicativo PagBank
Motivo: Uso do aplicativo
Submotivo: Como atualizar a versão do aplicativo
Conclusão: Orientação","PagBank"
"Como cadastrar uma chave Pix no site PagBank?","Para cadastrar uma chave Pix no site PagBank, siga o passo a passo:
1. Acesse o site PagBank e faça login com seu e-mail e senha;
2. Clique em **Pix/QR Code** no menu;
3. Escolha a opção **Cadastrar chave**;
4. Selecione o tipo de chave (CPF/CNPJ, E-mail, Telefone etc.) e insira os dados solicitados;
5. Confirme a operação.

Pronto! A chave Pix estará cadastrada no PagBank.","Unidade de negócio: PagBank
Produto: Pix
Motivo: Cadastro de Chave Pix
Submotivo: Cadastramento de chave Pix via site
Conclusão: Orientação","PagBank"
"Como cancelar a portabilidade de salário","Para cancelar a portabilidade de salário, o cliente precisa entrar em contato diretamente com o banco de origem que autorizou a portabilidade. Somente o banco de origem pode realizar o cancelamento dessa solicitação.","Unidade de negócio: PagBank
Produto: Portabilidade de Salário
Motivo: Cancelamento de portabilidade
Submotivo: Cliente orientado a contatar o banco de origem
Conclusão: Orientação","PagBank"
"Como devolver uma transferência Pix no site PagBank.","No momento, não é possível devolver uma transferência Pix pelo site PagBank. O cliente consegue fazer a devolução pelo aplicativo PagBank: basta acessar o extrato, identificar a transação Pix recebida que deseja devolver, clicar nela para ver os detalhes, rolar a tela para baixo e selecionar a opção **Devolver transferência**.","Unidade de negócio: PagBank
Produto: Pix
Motivo: Devolução de Pix
Submotivo: Devolução de transferência via site (não disponível)
Conclusão: Orientação","PagBank"
"Como exportar o Informe de Rendimentos da conta PagBank?","Para exportar o Informe de Rendimentos da conta PagBank, faça o seguinte:
- Acesse o site PagBank e faça login;
- Clique no menu **Extratos e Relatórios**;
- Selecione **Imposto de Renda**;
- Baixe o arquivo do Informe de Rendimentos.

Caso o arquivo não abra diretamente, será necessário informar o CPF ou CNPJ da conta para acessá-lo.","Unidade de negócio: PagBank
Produto: Conta PagBank
Motivo: Informe de Rendimentos
Submotivo: Exportar/baixar Informe de Rendimentos
Conclusão: Orientação","PagBank"
